	IQ_CITY	IQ_STATE	IQ_COUNTRY_NAME	IQ_COMPANY_NAME	IQ_CEO_NAME	IQ_EST_NEXT_EARNINGS_DATE
AXP	New York	NY	United States	American Express Company	"Chenault, Kenneth"	2015-10-12
AZZ	Fort Worth	TX	United States	AZZ incorporated	"Ferguson, Thomas"	2015-10-02
BABY	Pleasanton	CA	United States	Natus Medical Inc.	"Hawkins, James"	2015-10-22
BAC	Charlotte	NC	United States	Bank of America Corporation	"Moynihan, Brian"	2015-10-16
BAMXF	Munich	0	Germany	Bayerische Motoren Werke Aktiengesellschaft	"Krueger, Harald"	2015-11-03
BAX	Deerfield	IL	United States	Baxter International Inc.	"Parkinson, Robert"	2015-10-29
BBBY	Union	NJ	United States	Bed Bath & Beyond Inc.	"Temares, Steven"	2015-09-23
BBEP	Los Angeles	CA	United States	Breitburn Energy Partners LP	"Washburn, Halbert"	2015-08-06
BCPC	New Hampton	NY	United States	Balchem Corp.	"Harris, Theodore"	1900-01-00
BID	New York	NY	United States	Sotheby's	"Smith, Thomas "	2015-08-06
BIDU	Beijing	0	China	"Baidu, Inc."	"Li, Yanhong"	2015-10-27
BIG	Columbus	OH	United States	Big Lots Inc.	"Campisi, David"	2015-08-28
BIP	Toronto	ON	Canada	Brookfield Infrastructure Partners L.P.	"Pollock, Samuel"	2015-08-05
BJRI	Huntington Beach	CA	United States	"BJ's Restaurants, Inc."	"Trojan, Gregory"	2015-10-22
BKE	Kearney	NE	United States	"The Buckle, Inc."	"Nelson, Dennis"	2015-08-20
BKS	New York	NY	United States	"Barnes & Noble, Inc."	"Huseby, Michael"	2015-09-09
BLKB	Charleston	SC	United States	Blackbaud Inc.	"Gianoni, Michael"	2015-10-30
BLUE	Cambridge	MA	United States	"bluebird bio, Inc."	"Leschly, Nick"	2015-08-05
BLX	Panama	0	Panama	"Banco Latinoamericano de Comercio Exterior, S.A"	"Amaral, Rubens"	2015-10-15
BMRN	San Rafael	CA	United States	BioMarin Pharmaceutical Inc.	"Bienaime, Jean-Jacques"	2015-10-24
BNED	Basking Ridge	NJ	United States	"Barnes & Noble Education, Inc."	0	2015-10-26
BNS	London	0	United Kingdom	Baronsmead VCT 4 plc	0	1900-01-00
BOBE	New Albany	OH	United States	"Bob Evans Farms, Inc."	0	2015-08-19
BOBE  151218P00055000	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)
BOFI	San Diego	CA	United States	"BofI Holding, Inc."	"Garrabrants, Gregory"	1900-01-00
BOOM	Boulder	CO	United States	Dynamic Materials Corp.	"Longe, Kevin"	2015-10-29
BRK.B	Omaha	NE	United States	Berkshire Hathaway Inc.	"Buffett, Warren"	2015-08-07
BWA	Auburn Hills	MI	United States	BorgWarner Inc.	"Verrier, James"	2015-10-29
BWLD	Minneapolis	MN	United States	Buffalo Wild Wings Inc.	"Smith, Sally"	2015-10-27
CABO	Phoenix	AZ	United States	"Cable ONE, Inc."	"Might, Thomas"	1900-01-00
CAMP	Oxnard	CA	United States	CalAmp Corp.	"Burdiek, Michael"	2015-10-06
CASY	Ankeny	IA	United States	"Casey's General Stores, Inc."	"Myers, Robert"	2015-09-04
CBOE	Chicago	IL	United States	"CBOE Holdings, Inc."	"Tilly, Edward"	2015-10-30
CCU	Santiago	0	Chile	Compania Cervecerias Unidas S.A.	"Nasrallah, Patricio"	1900-01-00
CELG	Summit	NJ	United States	Celgene Corporation	"Hugin, Robert"	2015-10-15
CERN	North Kansas City	MO	United States	Cerner Corporation	"Patterson, Neal"	1900-01-00
CGNX	Natick	MA	United States	Cognex Corporation	"Willett, Robert"	2015-11-02
CHEF	Ridgefield	CT	United States	"The Chefs' Warehouse, Inc."	"Pappas, Christopher"	2015-10-30
CHKP	San Carlos	CA	United States	Check Point Software Technologies Ltd.	"Shwed, Gil"	2015-10-20
CHL	London	0	United Kingdom	Churchill Mining Plc	"Smith, Nicholas"	2015-10-15
CHRW	Eden Prairie	MN	United States	CH Robinson Worldwide Inc.	"Wiehoff, John"	2015-10-27
CHUY	Austin	TX	United States	"Chuy's Holdings, Inc."	"Hislop, Steven"	1900-01-00
CLB	Amsterdam	0	Netherlands	Core Laboratories NV	"Demshur, David"	2015-10-22
CLDX	Hampton	NJ	United States	"Celldex Therapeutics, Inc."	"Marucci, Anthony"	2015-08-10
CLNE	Newport Beach	CA	United States	Clean Energy Fuels Corp.	"Littlefair, Andrew"	2015-08-05
CMG	Denver	CO	United States	"Chipotle Mexican Grill, Inc."	0	2015-10-20
CMI	Columbus	IN	United States	Cummins Inc.	"Linebarger, N."	2015-10-30
CMP	Overland Park	KS	United States	Compass Minerals International Inc.	"Malecha, Francis"	2015-10-26
CMPR	Venlo	0	Netherlands	Cimpress N.V.	"Keane, Robert"	1900-01-00
CNI	Sydney	NSW	Australia	Centuria Capital Limited	"McBain, John"	2015-08-24
COH	New York	NY	United States	"Coach, Inc."	"Luis, Victor"	2015-10-27
COST	Issaquah	WA	United States	Costco Wholesale Corporation	"Jelinek, W."	2015-10-01
CPA	Panama City	0	Panama	Copa Holdings SA	"Heilbron, Pedro"	2015-08-12
CPRT	Dallas	TX	United States	"Copart, Inc."	"Adair, A."	2015-09-23
CRI	Atlanta	GA	United States	"Carter's, Inc."	"Casey, Michael"	2015-10-27
CRM	San Francisco	CA	United States	"salesforce.com, inc."	"Benioff, Marc"	2015-08-20
CROX	Niwot	CO	United States	"Crocs, Inc."	"Ribatt, Gregg"	2015-10-30
CRTO	Paris	0	France	Criteo SA	"Rudelle, Jean-Baptiste"	2015-11-04
CRUS	Austin	TX	United States	Cirrus Logic Inc.	"Rhode, Jason"	2015-10-28
CSCO	San Jose	CA	United States	"Cisco Systems, Inc."	"Robbins, Charles"	2015-08-12
CSGP	Washington	DC	United States	CoStar Group Inc.	"Florance, Andrew"	2015-10-28
CSTE	MP Menashe	0	Israel	CaesarStone Sdot-Yam Ltd.	"Shiran, Yosef"	2015-08-05
CSX	Jacksonville	FL	United States	CSX Corp.	"Ward, Michael"	2015-10-13
CTAS	Cincinnati	OH	United States	Cintas Corporation	"Farmer, Scott"	2015-09-18
CTRE	Mission Viejo	CA	United States	"CareTrust REIT, Inc."	"Stapley, Gregory"	2015-08-13
CTRP	Shanghai	0	China	Ctrip.com International Ltd.	"Liang, Jianzhang"	1900-01-00
CTSH	Teaneck	NJ	United States	Cognizant Technology Solutions Corporation	"D’Souza, Francisco"	2015-08-05
CVS	Woonsocket	RI	United States	CVS Health Corporation	"Merlo, Larry"	1900-01-00
CVT	Tysons Corner	VA	United States	"Cvent, Inc."	"Aggarwal, Rajeev"	2015-08-06
CVX	San Ramon	CA	United States	Chevron Corporation	"Watson, John"	2015-10-30
CWT	San Jose	CA	United States	California Water Service Group	"Kropelnicki, Martin"	2015-11-04
CY	San Jose	CA	United States	Cypress Semiconductor Corporation	"Rodgers, T."	2015-10-15
D	Richmond	VA	United States	"Dominion Resources, Inc."	"Farrell, Thomas"	2015-08-05
DAR	Irving	TX	United States	Darling Ingredients Inc.	"Stuewe, Randall"	2015-08-13
DASTY	Vélizy-Villacoublay	0	France	Dassault Systemes SA	"Charles, Bernard"	2015-08-07
DDD	Rock Hill	SC	United States	3D Systems Corporation	"Reichental, Abraham"	2015-08-06
DECK	Goleta	CA	United States	Deckers Outdoor Corp.	"Martinez, Angel"	2015-10-29
DEO	London	0	United Kingdom	Diageo plc	"Menezes, Ivan"	1900-01-00
DGI	Longmont	CO	United States	"DigitalGlobe, Inc."	"Tarr, Jeffrey"	2015-10-30
DIS	Burbank	CA	United States	The Walt Disney Company	"Iger, Robert"	1900-01-00
DISCK	Silver Spring	MD	United States	"Discovery Communications, Inc."	"Zaslav, David"	2015-08-05
DLB	San Francisco	CA	United States	"Dolby Laboratories, Inc."	"Yeaman, Kevin"	2015-10-23
DLX	Shoreview	MN	United States	Deluxe Corp.	"Schram, Lee"	2015-10-22
DNOW	Houston	TX	United States	NOW Inc.	"Workman, Robert"	2015-08-05
DORM	Colmar	PA	United States	"Dorman Products, Inc."	"Berman, Steven"	2015-10-29
DPM	Denver	CO	United States	DCP Midstream Partners LP	"van Kempen, Wouter"	2015-08-05
DVN	Oklahoma City	OK	United States	Devon Energy Corporation	"Hager, David"	1900-01-00
DW	Elkhart	IN	United States	Drew Industries Incorporated	"Lippert, Jason"	1900-01-00
DWA	Glendale	CA	United States	DreamWorks Animation SKG Inc.	"Katzenberg, Jeffrey"	1900-01-00
DWSN	Midland	TX	United States	Dawson Geophysical Company	"Jumper, Stephen"	2015-08-07
EBAY	San Jose	CA	United States	eBay Inc.	"Wenig, Devin"	2015-10-14
EBS	Gaithersburg	MD	United States	"Emergent BioSolutions, Inc."	"Abdun-Nabi, Daniel"	2015-08-06
ECOL	Boise	ID	United States	"US Ecology, Inc."	"Feeler, Jeffrey"	2015-08-05
EDU	Beijing	0	China	New Oriental Education & Technology Group Inc.	"Yu, Minhong"	1900-01-00
EEFT	Leawood	KS	United States	"Euronet Worldwide, Inc."	"Brown, Michael"	2015-10-28
EEP	Houston	TX	United States	"Enbridge Energy Partners, L.P."	"Maki, Mark"	2015-10-30
ELLI	Pleasanton	CA	United States	"Ellie Mae, Inc."	"Corr, Jonathan"	2015-10-30
EMR	St. Louis	MO	United States	Emerson Electric Co.	"Farr, David"	2015-11-03
ENOC	Boston	MA	United States	"EnerNOC, Inc."	"Healy, Timothy"	2015-08-06
EPAM	Newtown	PA	United States	"EPAM Systems, Inc."	"Dobkin, Arkadiy"	1900-01-00
EPD	Houston	TX	United States	Enterprise Products Partners L.P.	"Creel, Michael"	2015-10-14
EQC	Newton	MA	United States	Equity Commonwealth	"Helfand, David"	2015-08-05
EQIX	Redwood City	CA	United States	"Equinix, Inc."	"Smith, Stephen"	2015-10-28
ERJ	Sao Jose dos Campos	SP	Brazil	Embraer SA	"Curado, Frederico"	2015-10-15
ESRX	St. Louis	MO	United States	Express Scripts Holding Company	"Paz, George"	2015-10-26
EXEL	South San Francisco	CA	United States	"Exelixis, Inc."	"Morrissey, Michael"	2015-08-11
F	Dearborn	MI	United States	Ford Motor Co.	"Fields, Mark"	2015-10-27
FAF	Santa Ana	CA	United States	First American Financial Corporation	"Gilmore, Dennis"	2015-10-23
FB	Menlo Park	CA	United States	"Facebook, Inc."	"Zuckerberg, Mark"	2015-10-27
FDS	Norwalk	CT	United States	FactSet Research Systems Inc.	"Snow, Frederick"	2015-09-15
FDX	Memphis	TN	United States	FedEx Corporation	"Smith, Frederick"	2015-09-16
FEIC	Hillsboro	OR	United States	FEI Company	"Kania, Don"	2015-10-27
FEYE	Milpitas	CA	United States	"FireEye, Inc."	"DeWalt, David"	2015-11-04
FFNW	Renton	WA	United States	"First Financial Northwest, Inc."	"Kiley, Joseph"	2015-10-22
FII	Pittsburgh	PA	United States	"Federated Investors, Inc."	"Donahue, John"	2015-10-22
FISI	Warsaw	NY	United States	Financial Institutions Inc.	"Birmingham, Martin"	2015-10-23
FIVE	Philadelphia	PA	United States	"Five Below, Inc."	"Anderson, Joel"	2015-09-08
FLO	Thomasville	GA	United States	"Flowers Foods, Inc."	"Shiver, Allen"	2015-08-13
FORM	Livermore	CA	United States	FormFactor Inc.	"Slessor, Michael"	2015-10-26
FOSL	Richardson	TX	United States	"Fossil Group, Inc."	"Kartsotis, Kosta"	2015-08-11
FTD	Downers Grove	IL	United States	"FTD Companies, Inc."	"Apatoff, Robert"	2015-08-05
FTI	Houston	TX	United States	"FMC Technologies, Inc."	"Gremp, John"	2015-10-20
GBX	Lake Oswego	OR	United States	"The Greenbrier Companies, Inc."	"Furman, William"	2015-10-30
GCI	McLean	VA	United States	"Gannett Co., Inc."	"Dickey, Robert"	2015-10-29
GEOS	Houston	TX	United States	Geospace Technologies Corporation	"Wheeler, Walter"	2015-08-06
GES	Los Angeles	CA	United States	Guess? Inc.	"Amigo, Victor"	2015-09-01
GHC	Arlington	VA	United States	Graham Holdings Company	"Graham, Donald"	2015-08-05
GHDX	Redwood City	CA	United States	Genomic Health Inc.	"Popovits, Kimberly"	1900-01-00
GILD	Foster City	CA	United States	Gilead Sciences Inc.	"Martin, John"	2015-10-28
GLW	Corning	NY	United States	Corning Inc.	"Weeks, Wendell"	2015-10-27
GM	Detroit	MI	United States	General Motors Company	"Barra, Mary"	2015-10-23
GMCR	Waterbury	VT	United States	"Keurig Green Mountain, Inc."	"Kelley, Brian"	2015-08-05
GNCMA	Anchorage	AK	United States	General Communication Inc.	"Duncan, Ronald"	1900-01-00
GNRC	Waukesha	WI	United States	Generac Holdings Inc.	"Jagdfeld, Aaron"	2015-08-06
GNTX	Zeeland	MI	United States	Gentex Corp.	"Bauer, Fred"	2015-10-22
GOOG	Mountain View	CA	United States	Google Inc.	"Page, Lawrence"	2015-10-15
GOOGL	Mountain View	CA	United States	Google Inc.	"Page, Lawrence"	2015-10-15
GPRO	San Mateo	CA	United States	"GoPro, Inc."	"Woodman, Nicholas"	2015-10-21
GPT	New York	NY	United States	Gramercy Property Trust Inc.	"DuGan, Gordon"	2015-08-05
GTLS	Garfield Heights	OH	United States	Chart Industries Inc.	"Thomas, Samuel"	2015-10-30
GWR	Darien	CT	United States	Genesee & Wyoming Inc.	"Hellmann, John"	2015-10-30
H	Chicago	IL	United States	Hyatt Hotels Corporation	"Hoplamazian, Mark"	1900-01-00
HAIN	Lake Success	NY	United States	"The Hain Celestial Group, Inc."	"Simon, Irwin"	2015-08-20
HAL	Houston	TX	United States	Halliburton Company	"Lesar, David"	2015-10-19
HAS	Pawtucket	RI	United States	Hasbro Inc.	"Goldner, Brian"	2015-10-19
HCN	Toledo	OH	United States	"Health Care REIT, Inc."	"DeRosa, Thomas"	2015-10-30
HD	Atlanta	GA	United States	"The Home Depot, Inc."	"Menear, Craig"	2015-08-18
HEI	Hollywood	FL	United States	HEICO Corporation	"Mendelson, Laurans"	2015-08-24
HHC	Dallas	TX	United States	The Howard Hughes Corporation	"Weinreb, David"	2015-08-07
HPY	Princeton	NJ	United States	"Heartland Payment Systems, Inc."	"Carr, Robert"	2015-10-30
HTZ	Naples	FL	United States	"Hertz Global Holdings, Inc."	"Tague, John"	2015-08-05
HY	Cleveland	OH	United States	"Hyster-Yale Materials Handling, Inc."	"Rankin, Alfred"	2015-10-28
IBKR	Greenwich	CT	United States	"Interactive Brokers Group, Inc."	"Peterffy, Thomas"	2015-10-21
ICE	Atlanta	GA	United States	"Intercontinental Exchange, Inc."	"Sprecher, Jeffrey"	2015-08-05
IDXX	Westbrook	ME	United States	"IDEXX Laboratories, Inc."	"Ayers, Jonathan"	2015-10-30
IIVI	Saxonburg	PA	United States	II-VI Incorporated	"Kramer, Francis"	1900-01-00
ILMN	San Diego	CA	United States	Illumina Inc.	"Flatley, Jay"	2015-10-20
IMAX	Mississauga	ON	Canada	IMAX Corporation	"Gelfond, Richard"	2015-10-23
IMGN	Waltham	MA	United States	"ImmunoGen, Inc."	"Junius, Daniel"	1900-01-00
INFN	Sunnyvale	CA	United States	Infinera Corporation	"Fallon, Thomas"	2015-10-21
ININ	Indianapolis	IN	United States	Interactive Intelligence Group Inc.	"Brown, Donald"	2015-11-04
INTC	Santa Clara	CA	United States	Intel Corporation	"Krzanich, Brian"	2015-10-13
INTU	Mountain View	CA	United States	Intuit Inc.	"Smith, Brad"	2015-08-20
INVN	San Jose	CA	United States	"InvenSense, Inc."	"Abdi, Behrooz"	1900-01-00
IPGP	Oxford	MA	United States	IPG Photonics Corporation	"Gapontsev, Valentin"	2015-10-28
IRBT	Bedford	MA	United States	iRobot Corporation	"Angle, Colin"	2015-10-20
IRDM	McLean	VA	United States	Iridium Communications Inc.	"Desch, Matthew"	2015-10-30
ISIS	Carlsbad	CA	United States	"Isis Pharmaceuticals, Inc."	"Crooke, Stanley"	1900-01-00
ISRG	Sunnyvale	CA	United States	"Intuitive Surgical, Inc."	"Guthart, Gary"	2015-10-15
IT	Stamford	CT	United States	Gartner Inc.	"Hall, Eugene"	2015-11-05
ITC	Novi	MI	United States	ITC Holdings Corp.	"Welch, Joseph"	2015-11-05
ITW	Glenview	IL	United States	Illinois Tool Works Inc.	"Santi, E."	2015-10-21
JASN	Milwaukee	WI	United States	"Jason Industries, Inc."	"Westgate, David"	2015-10-30
JBT	Chicago	IL	United States	John Bean Technologies Corporation	"Giacomini, Thomas"	2015-11-05
JLL	Chicago	IL	United States	Jones Lang LaSalle Incorporated	"Dyer, Colin"	2015-10-27
JNJ	New Brunswick	NJ	United States	Johnson & Johnson	"Gorsky, Alex"	2015-10-13
JOBS	Shanghai	0	China	51job Inc.	"Yan, Rick"	2015-08-10
JUNO	Seattle	WA	United States	Juno Therapeutics Inc.	"Bishop, Hans"	2015-08-10
JWN	Seattle	WA	United States	Nordstrom Inc.	0	2015-08-13
KMB	Dallas	TX	United States	Kimberly-Clark Corporation	"Falk, Thomas"	2015-10-21
KMI	Houston	TX	United States	"Kinder Morgan, Inc."	"Kean, Steven"	2015-10-16
KMX	Richmond	VA	United States	CarMax Inc.	"Folliard, Thomas"	2015-09-22
KNDI	Jinhua	0	China	"Kandi Technologies Group, Inc."	"Hu, Xiaoming"	2015-08-10
KO	Atlanta	GA	United States	The Coca-Cola Company	"Kent, Muhtar"	2015-10-16
L	New York	NY	United States	Loews Corporation	"Tisch, James"	2015-10-26
LBTYK	London	0	United Kingdom	Liberty Global plc	"Fries, Michael"	1900-01-00
LDL	Manchester	CT	United States	"Lydall, Inc."	"Barnhart, Dale"	2015-08-05
LF	Emeryville	CA	United States	LeapFrog Enterprises Inc.	"Barbour, John"	1900-01-00
LFUS	Chicago	IL	United States	Littelfuse Inc.	"Hunter, Gordon"	2015-10-29
LGF	Santa Monica	CA	United States	Lions Gate Entertainment Corp.	"Feltheimer, Jon"	2015-08-06
LILAK	London	0	United Kingdom	Liberty LiLAC Group	0	2015-08-26
LKQ	Chicago	IL	United States	LKQ Corp.	"Wagman, Robert"	2015-10-27
LL	Toano	VA	United States	"Lumber Liquidators Holdings, Inc."	"Sullivan, Thomas"	2015-08-05
LLTC	Milpitas	CA	United States	Linear Technology Corporation	"Maier, Lothar"	1900-01-00
LNKD	Mountain View	CA	United States	LinkedIn Corporation	"Weiner, Jeffrey"	2015-10-29
LOCK	Tempe	AZ	United States	"LifeLock, Inc."	"Davis, Richard"	2015-10-29
LPSN	New York	NY	United States	LivePerson Inc.	"LoCascio, Robert"	2015-11-05
LQDT	Washington	DC	United States	"Liquidity Services, Inc."	"Angrick, William"	2015-08-06
LUK	New York	NY	United States	Leucadia National Corporation	"Handler, Richard"	1900-01-00
LULU	Vancouver	BC	Canada	Lululemon Athletica Inc.	"Potdevin, Laurent"	2015-09-09
MA	Purchase	NY	United States	MasterCard Incorporated	"Banga, Ajaypal"	2015-10-29
MANH	Atlanta	GA	United States	"Manhattan Associates, Inc."	"Capel, Eddie"	2015-10-20
MANT	Fairfax	VA	United States	ManTech International Corporation	"Pedersen, George"	2015-10-28
MCK	San Francisco	CA	United States	McKesson Corporation	"Hammergren, John"	2015-10-23
MELI	Vicente Lopez	0	Argentina	"Mercadolibre, Inc."	"Galperin, Marcos"	2015-08-05
MG	Princeton Junction	NJ	United States	"Mistras Group, Inc."	"Vahaviolos, Sotirios"	2015-08-05
MGRC	Livermore	CA	United States	McGrath Rentcorp	"Kakures, Dennis"	2015-10-29
MHLD	Hamilton	0	Bermuda	"Maiden Holdings, Ltd."	"Raschbaum, Arturo"	1900-01-00
MIDD	Elgin	IL	United States	Middleby Corp.	"Bassoul, Selim"	2015-08-12
MINI	Phoenix	AZ	United States	"Mobile Mini, Inc."	"Olsson, Erik"	2015-10-23
MKC	Sparks	MD	United States	"McCormick & Company, Incorporated"	"Wilson, Alan"	2015-10-01
MKL	Glen Allen	VA	United States	Markel Corp.	"Kirshner, Alan"	2015-08-05
MKTX	New York	NY	United States	MarketAxess Holdings Inc.	"McVey, Richard"	2015-10-21
MMP	Tulsa	OK	United States	Magellan Midstream Partners LP	"Mears, Michael"	2015-08-06
MNST	Corona	CA	United States	Monster Beverage Corporation	"Sacks, Rodney"	2015-08-06
MNTA	Cambridge	MA	United States	Momenta Pharmaceuticals Inc.	"Wheeler, Craig"	1900-01-00
MOD	Racine	WI	United States	Modine Manufacturing Company	"Burke, Thomas"	2015-10-30
MOG.A	East Aurora	NY	United States	Moog Inc.	"Scannell, John"	2015-10-30
MOV	Paramus	NJ	United States	"Movado Group, Inc."	"Grinberg, Efraim"	2015-08-27
MRH	D?browa Górnicza	0	Poland	Mr Hamburger Spólka Akcyjna	0	2015-08-14
MSA	Cranberry Township	PA	United States	MSA Safety Incorporated	"Lambert, William"	2015-10-22
MSFT	Redmond	WA	United States	Microsoft Corporation	"Nadella, Satya"	1900-01-00
MSM	Melville	NY	United States	MSC Industrial Direct Co. Inc.	"Gershwind, Erik"	2015-10-28
MSTR	Tysons Corner	VA	United States	MicroStrategy Inc.	"Saylor, Michael"	2015-10-27
MTH	Scottsdale	AZ	United States	Meritage Homes Corporation	"Hilton, Steven"	2015-10-29
MTN	Broomfield	CO	United States	Vail Resorts Inc.	"Katz, Robert"	2015-09-24
MTZ	Coral Gables	FL	United States	"MasTec, Inc."	"Mas, Jose"	2015-08-08
N	San Mateo	CA	United States	NetSuite Inc.	"Nelson, Zachary"	2015-10-23
NATI	Austin	TX	United States	National Instruments Corporation	"Truchard, James"	2015-10-28
NCR	Duluth	GA	United States	NCR Corporation	"Nuti, William"	2015-10-21
NDAQ	New York	NY	United States	"The Nasdaq OMX Group, Inc."	"Greifeld, Robert"	2015-10-23
NDSN	Westlake	OH	United States	Nordson Corporation	"Hilton, Michael"	2015-08-20
NFLX	Los Gatos	CA	United States	"Netflix, Inc."	"Hastings, Reed"	2015-10-15
NGG	London	0	United Kingdom	National Grid plc	"Holliday, Steven"	2015-11-10
NILE	Seattle	WA	United States	Blue Nile Inc.	"Kanter, Harvey"	2015-08-07
NKE	Beaverton	OR	United States	"NIKE, Inc."	"Parker, Mark"	2015-09-23
NOV	Houston	TX	United States	"National Oilwell Varco, Inc."	"Williams, Clay"	2015-10-28
NSAM	New York	NY	United States	Northstar Asset Management Group Inc.	"Hamamoto, David"	2015-08-06
NSH	San Antonio	TX	United States	"NuStar GP Holdings, LLC"	"Barron, Bradley"	2015-10-28
NTES	Beijing	0	China	"NetEase, Inc."	"Ding, Lei"	2015-08-13
NTGR	San Jose	CA	United States	Netgear Inc.	"Lo, C."	2015-10-22
NUAN	Burlington	MA	United States	"Nuance Communications, Inc."	"Ricci, Paul"	2015-08-06
NUE	Charlotte	NC	United States	Nucor Corporation	"Ferriola, John"	2015-10-22
NUVA	San Diego	CA	United States	"NuVasive, Inc."	"Lucier, Gregory"	2015-10-28
NVDA	Santa Clara	CA	United States	NVIDIA Corporation	"Huang, Jen-Hsun"	2015-08-06
NXPI	Eindhoven	0	Netherlands	NXP Semiconductors NV	"Clemmer, Richard"	2015-10-26
NXTM	Lawrence	MA	United States	"Nxstage Medical, Inc."	"Burbank, Jeffrey"	2015-08-06
OA	Dulles	VA	United States	"Orbital ATK, Inc."	"Thompson, David"	2015-08-06
OAK	Los Angeles	CA	United States	"Oaktree Capital Group, LLC"	"Wintrob, Jay"	2015-10-28
OCN	Atlanta	GA	United States	Ocwen Financial Corp.	"Faris, Ronald"	2015-10-30
OGS	Tulsa	OK	United States	"ONE Gas, Inc."	"Norton, Pierce"	2015-10-28
OII	Houston	TX	United States	"Oceaneering International, Inc."	"McEvoy, M."	2015-10-28
OKE	Tulsa	OK	United States	ONEOK Inc.	"Spencer, Terry"	2015-11-03
OKS	Tulsa	OK	United States	"ONEOK Partners, L.P."	"Spencer, Terry"	2015-11-03
OLED	Ewing	NJ	United States	Universal Display Corp.	"Abramson, Steven"	2015-08-06
OMC	New York	NY	United States	Omnicom Group Inc.	"Wren, John"	2015-10-20
ORAN	Paris	0	France	Orange	"Richard, Stéphane"	2015-10-22
OTEX	Waterloo	ON	Canada	Open Text Corporation	"Barrenechea, Mark"	1900-01-00
P	Oakland	CA	United States	"Pandora Media, Inc."	"McAndrews, Brian"	2015-10-22
PAC	Edinburgh	0	United Kingdom	Pacific Assets Trust plc	"Wilson, Richard"	1900-01-00
PACB	Menlo Park	CA	United States	"Pacific Biosciences of California, Inc."	"Hunkapiller, Michael"	1900-01-00
PANW	Santa Clara	CA	United States	"Palo Alto Networks, Inc."	"McLaughlin, Mark"	2015-09-09
PCAR	Bellevue	WA	United States	PACCAR Inc.	"Armstrong, Ronald"	2015-10-27
PCLN	Norwalk	CT	United States	The Priceline Group Inc.	"Huston, Darren"	2015-08-05
PCP	Portland	OR	United States	Precision Castparts Corp.	"Donegan, Mark"	2015-10-27
